Pre-Optimization
Input Number,Real,Predicted,Error
186,91.1133,6.51678,84.5965
187,72.7672,5.70218,67.065
188,10.23,1.62919,8.60076
189,9.28112,1.62919,7.65193
190,0.154691,0,0.154691
191,3.22608,0.814597,2.41148
192,82.593,6.51678,76.0763
193,3.32818,0.814597,2.51358
194,18.0858,2.44379,15.642
195,1.3092,0,1.3092
196,28.2434,3.25839,24.985
197,74.6402,5.70218,68.938
198,86.1209,6.51678,79.6041
199,33.6803,3.25839,30.4219
200,15.9329,2.44379,13.4891
201,3.42067,0.814597,2.60608
202,24.5101,3.25839,21.2517
203,63.5667,5.70218,57.8646
204,4.18029,0.814597,3.36569
205,0.15773,0,0.15773
206,9.76067,1.62919,8.13147
207,17.61,2.44379,15.1662
208,44.1516,4.07299,40.0786
209,25.6576,3.25839,22.3992
210,117.672,7.33137,110.341
211,67.9409,5.70218,62.2387
212,77.6924,5.70218,71.9902
213,49.0453,4.88758,44.1578
214,40.1954,4.07299,36.1224
215,95.8913,6.51678,89.3745
216,41.5956,4.07299,37.5226
217,10.2313,1.62919,8.60211
218,49.5742,4.88758,44.6866
219,40.8297,4.07299,36.7567
220,29.0785,3.25839,25.8201
221,3.87007,0.814597,3.05547
222,45.3051,4.07299,41.2321
223,62.3268,4.88758,57.4393
224,8.32019,1.62919,6.69099
225,11.1797,1.62919,9.5505
226,6.60873,0.814597,5.79414
227,36.9305,4.07299,32.8575
228,2.65083,0,2.65083
229,8.68606,1.62919,7.05686
230,55.9905,4.88758,51.1029
231,101.498,7.33137,94.1667
232,117.973,7.33137,110.642
233,1.11319,0,1.11319
234,11.4351,1.62919,9.80594
235,17.6204,2.44379,15.1766
236,6.07352,0.814597,5.25892
237,0.544565,0,0.544565
238,35.8318,4.07299,31.7588
239,51.4178,4.88758,46.5302
240,46.9883,4.07299,42.9153
241,3.72506,0.814597,2.91047
242,66.681,5.70218,60.9788
243,78.4081,5.70218,72.706
244,66.803,5.70218,61.1008
245,87.5716,6.51678,81.0548
246,31.3336,3.25839,28.0752
247,3.15726,0.814597,2.34267
248,2.53074,0,2.53074
249,24.4655,3.25839,21.2071
250,1.54095,0,1.54095
251,47.9848,4.88758,43.0972
252,47.2191,4.07299,43.1461
253,70.1063,5.70218,64.4042
254,0.549602,0,0.549602
255,10.7415,1.62919,9.11235
256,9.4,1.62919,7.77081
257,45.5742,4.07299,41.5012
258,67.7913,5.70218,62.0891
259,88.066,6.51678,81.5493
260,55.8982,4.88758,51.0107
261,28.2239,3.25839,24.9655
262,47.9652,4.88758,43.0776
263,4.53609,0.814597,3.72149
264,88.8653,6.51678,82.3485
265,19.5052,2.44379,17.0615
266,58.8727,4.88758,53.9851
267,13.8848,1.62919,12.2556
268,18.7128,2.44379,16.269
269,11.893,1.62919,10.2638
270,1.11227,0,1.11227
271,39.9191,4.07299,35.8461
272,17.7421,2.44379,15.2983
273,30.6233,3.25839,27.3649
274,69.1821,5.70218,63.4799
275,19.3689,2.44379,16.9251
276,90.3251,6.51678,83.8084
277,103.302,7.33137,95.9704
278,24.0105,3.25839,20.7521
279,15.5705,2.44379,13.1267
280,44.757,4.07299,40.6841
281,38.5165,4.07299,34.4436
282,104.631,7.33137,97.2995
283,5.32058,0.814597,4.50598
284,49.7096,4.88758,44.8221
285,82.5143,6.51678,75.9976
286,86.2443,6.51678,79.7275
287,27.3483,3.25839,24.0899
288,11.4985,1.62919,9.86932
289,23.5088,2.44379,21.065
290,88.5978,6.51678,82.0811
291,91.4711,6.51678,84.9543
292,19.4488,2.44379,17.0051
293,110.686,7.33137,103.355
294,12.7462,1.62919,11.117
295,64.7082,5.70218,59.006
296,0.00925764,0,0.00925764
297,4.85489,0.814597,4.04029
298,117.735,7.33137,110.404
299,106.426,7.33137,99.0951
300,37.5817,4.07299,33.5087
301,116.993,7.33137,109.661
302,102.952,7.33137,95.6211
303,6.36956,0.814597,5.55496
304,16.1306,2.44379,13.6868
305,13.9058,1.62919,12.2766
306,15.1885,2.44379,12.7447
307,59.9674,4.88758,55.0798
308,15.5787,2.44379,13.1349
309,3.62824,0.814597,2.81364
310,93.9734,6.51678,87.4567
311,24.0306,3.25839,20.7722
312,16.7303,2.44379,14.2865
313,39.9923,4.07299,35.9193
314,19.0175,2.44379,16.5737
315,0.0192157,0,0.0192157
316,27.8529,3.25839,24.5945
317,70.6309,5.70218,64.9287
318,21.7955,2.44379,19.3517
319,27.2362,3.25839,23.9778
320,18.77,2.44379,16.3262
321,14.9255,2.44379,12.4817
322,14.2357,1.62919,12.6065
323,38.4447,4.07299,34.3717
324,97.5956,6.51678,91.0788
325,78.032,5.70218,72.3299
326,1.05081,0,1.05081
327,101.679,7.33137,94.3472
328,45.0735,4.07299,41.0005
329,80.1053,6.51678,73.5885
330,25.9894,3.25839,22.731
331,79.4322,5.70218,73.73
332,75.9276,5.70218,70.2254
333,18.7709,2.44379,16.3271
334,2.80281,0.814597,1.98821
335,19.7527,2.44379,17.3089
336,116.46,7.33137,109.129
337,19.7069,2.44379,17.2631
338,24.1966,3.25839,20.9383
339,85.1573,6.51678,78.6405
340,30.4858,3.25839,27.2274
341,28.9279,3.25839,25.6695
342,2.6851,0,2.6851
343,14.3175,1.62919,12.6883
344,16.606,2.44379,14.1622
345,2.30563,0,2.30563
346,18.1544,2.44379,15.7106
347,16.1306,2.44379,13.6868
348,106.524,7.33137,99.1926
349,11.1066,1.62919,9.4774
350,43.8503,4.07299,39.7774
351,34.0902,3.25839,30.8318
352,117.302,7.33137,109.97
353,3.09065,0.814597,2.27605
354,71.4673,5.70218,65.7652
355,30.7668,3.25839,27.5084
356,70.3007,5.70218,64.5985
357,42.387,4.07299,38.314
358,30.5804,3.25839,27.322
359,4.29935,0.814597,3.48475
360,60.5743,4.88758,55.6867
361,19.1536,2.44379,16.7098
362,16.9069,2.44379,14.4631
363,117.836,7.33137,110.504
364,1.57022,0,1.57022
365,102.363,7.33137,95.032
366,52.1852,4.88758,47.2976
367,24.2955,3.25839,21.0371
368,8.68228,1.62919,7.05309
369,87.747,6.51678,81.2302
370,55.136,4.88758,50.2485
371,118.769,7.33137,111.438
372,10.0836,1.62919,8.45444
373,40.5733,4.07299,36.5003
374,93.6927,6.51678,87.1759
375,119.502,7.33137,112.171
376,43.9995,4.07299,39.9265
377,94.0515,6.51678,87.5347
378,36.9033,4.07299,32.8304
379,36.4884,4.07299,32.4154
380,24.8194,3.25839,21.561
381,53.1836,4.88758,48.296
382,3.98521,0.814597,3.17061
383,10.1793,1.62919,8.55008
384,44.157,4.07299,40.084
385,26.8546,3.25839,23.5962
386,95.1223,6.51678,88.6055
387,82.7542,6.51678,76.2375
388,33.1237,3.25839,29.8654
389,28.8072,3.25839,25.5489
390,82.9431,6.51678,76.4263
391,0.310289,0,0.310289
392,10.9994,1.62919,9.37024
393,21.092,2.44379,18.6482
394,58.9455,4.88758,54.058
395,47.0494,4.07299,42.9764
396,21.4914,2.44379,19.0476
397,96.3353,6.51678,89.8185
398,64.8999,5.70218,59.1977
399,51.8073,4.88758,46.9197
400,52.0917,4.88758,47.2041
401,57.6849,4.88758,52.7973
402,22.8844,2.44379,20.4406
403,10.4796,1.62919,8.85037
404,40.6988,4.07299,36.6258
405,78.8263,5.70218,73.1241
406,1.12631,0,1.12631
407,62.9213,5.70218,57.2191
408,56.1418,4.88758,51.2543
409,91.656,6.51678,85.1392
410,10.0628,1.62919,8.43361
411,66.2269,5.70218,60.5248
412,9.19708,1.62919,7.56788
413,14.1266,1.62919,12.4974
414,60.4423,4.88758,55.5548
415,14.4589,1.62919,12.8297
416,83.8095,6.51678,77.2927
417,53.0524,4.88758,48.1648
418,0.439683,0,0.439683
419,76.9321,5.70218,71.2299
420,38.5367,4.07299,34.4637
421,5.85762,0.814597,5.04303
422,116.986,7.33137,109.655
423,48.3347,4.88758,43.4471
424,4.93544,0.814597,4.12084
425,35.8367,4.07299,31.7637
426,17.2138,2.44379,14.77
427,1.36603,0,1.36603
428,48.6025,4.88758,43.715
429,55.39,4.88758,50.5025
430,94.2253,6.51678,87.7085
431,0.929784,0,0.929784
432,3.12223,0.814597,2.30763
433,0.330826,0,0.330826
434,29.5847,3.25839,26.3263
435,16.7151,2.44379,14.2713
436,55.998,4.88758,51.1105
437,28.7394,3.25839,25.481
438,118.465,7.33137,111.133
439,92.8237,6.51678,86.307
440,63.6279,5.70218,57.9257
441,20.7748,2.44379,18.3311
442,110.718,7.33137,103.387
443,3.99296,0.814597,3.17836
444,17.7212,2.44379,15.2774
445,2.64258,0,2.64258
446,0.693572,0,0.693572
447,18.1324,2.44379,15.6886
448,0.15586,0,0.15586
449,19.5025,2.44379,17.0587
450,26.2266,3.25839,22.9683
451,8.34119,1.62919,6.712
452,16.5571,2.44379,14.1133
453,33.5976,3.25839,30.3393
454,34.9257,4.07299,30.8527
455,12.5326,1.62919,10.9034
456,11.8698,1.62919,10.2406
457,50.2993,4.88758,45.4117
458,3.29628,0.814597,2.48168
459,32.9014,3.25839,29.6431
460,117.391,7.33137,110.059
461,23.4095,2.44379,20.9657
462,78.7082,5.70218,73.0061
463,2.50873,0,2.50873
464,1.13856,0,1.13856
465,49.2327,4.88758,44.3451
466,74.5061,5.70218,68.8039
467,2.10568,0,2.10568
468,81.0223,6.51678,74.5055
469,3.67631,0.814597,2.86171
470,8.20876,1.62919,6.57957
471,4.27215,0.814597,3.45756
472,105.764,7.33137,98.4321
473,63.5764,5.70218,57.8742
474,28.1458,3.25839,24.8874
475,4.40358,0.814597,3.58899
476,69.4139,5.70218,63.7117
477,10.3779,1.62919,8.7487
478,40.8673,4.07299,36.7943
479,42.1391,4.07299,38.0661
480,106.566,7.33137,99.2342
481,76.7324,5.70218,71.0302
482,118.43,7.33137,111.098
483,87.6791,6.51678,81.1623
484,53.6166,4.88758,48.729
485,74.6611,5.70218,68.9589
486,23.6153,2.44379,21.1715
487,83.6104,6.51678,77.0936
488,94.1608,6.51678,87.6441
489,63.2773,5.70218,57.5751
490,3.72551,0.814597,2.91091
491,81.1819,6.51678,74.6652
492,58.9548,4.88758,54.0673
493,25.8622,3.25839,22.6039
494,9.25328,1.62919,7.62409
495,49.068,4.88758,44.1804
496,20.2788,2.44379,17.835
497,61.7257,4.88758,56.8381
498,0.621421,0,0.621421
499,75.1811,5.70218,69.4789
500,47.706,4.07299,43.6331
