Post-Optimization
Input Number,Real,Predicted,Error
197,74.6402,-inf,inf
198,86.1209,-inf,inf
199,33.6803,-inf,inf
200,15.9329,-inf,inf
201,3.42067,-inf,inf
202,24.5101,-inf,inf
203,63.5667,-inf,inf
204,4.18029,-inf,inf
205,0.15773,-inf,inf
206,9.76067,-inf,inf
207,17.61,-inf,inf
208,44.1516,-inf,inf
209,25.6576,-inf,inf
210,117.672,-inf,inf
211,67.9409,-inf,inf
212,77.6924,-inf,inf
213,49.0453,-inf,inf
214,40.1954,-inf,inf
215,95.8913,-inf,inf
216,41.5956,-inf,inf
217,10.2313,-inf,inf
218,49.5742,-inf,inf
219,40.8297,-inf,inf
220,29.0785,-inf,inf
221,3.87007,-inf,inf
222,45.3051,-inf,inf
223,62.3268,-inf,inf
224,8.32019,-inf,inf
225,11.1797,-inf,inf
226,6.60873,-inf,inf
227,36.9305,-inf,inf
228,2.65083,-inf,inf
229,8.68606,-inf,inf
230,55.9905,-inf,inf
231,101.498,-inf,inf
232,117.973,-inf,inf
233,1.11319,-inf,inf
234,11.4351,-inf,inf
235,17.6204,-inf,inf
236,6.07352,-inf,inf
237,0.544565,-inf,inf
238,35.8318,-inf,inf
239,51.4178,-inf,inf
240,46.9883,-inf,inf
241,3.72506,-inf,inf
242,66.681,-inf,inf
243,78.4081,-inf,inf
244,66.803,-inf,inf
245,87.5716,-inf,inf
246,31.3336,-inf,inf
247,3.15726,-inf,inf
248,2.53074,-inf,inf
249,24.4655,-inf,inf
250,1.54095,-inf,inf
251,47.9848,-inf,inf
252,47.2191,-inf,inf
253,70.1063,-inf,inf
254,0.549602,-inf,inf
255,10.7415,-inf,inf
256,9.4,-inf,inf
257,45.5742,-inf,inf
258,67.7913,-inf,inf
259,88.066,-inf,inf
260,55.8982,-inf,inf
261,28.2239,-inf,inf
262,47.9652,-inf,inf
263,4.53609,-inf,inf
264,88.8653,-inf,inf
265,19.5052,-inf,inf
266,58.8727,-inf,inf
267,13.8848,-inf,inf
268,18.7128,-inf,inf
269,11.893,-inf,inf
270,1.11227,-inf,inf
271,39.9191,-inf,inf
272,17.7421,-inf,inf
273,30.6233,-inf,inf
274,69.1821,-inf,inf
275,19.3689,-inf,inf
276,90.3251,-inf,inf
277,103.302,-inf,inf
278,24.0105,-inf,inf
279,15.5705,-inf,inf
280,44.757,-inf,inf
281,38.5165,-inf,inf
282,104.631,-inf,inf
283,5.32058,-inf,inf
284,49.7096,-inf,inf
285,82.5143,-inf,inf
286,86.2443,-inf,inf
287,27.3483,-inf,inf
288,11.4985,-inf,inf
289,23.5088,-inf,inf
290,88.5978,-inf,inf
291,91.4711,-inf,inf
292,19.4488,-inf,inf
293,110.686,-inf,inf
294,12.7462,-inf,inf
295,64.7082,-inf,inf
296,0.00925764,-inf,inf
297,4.85489,-inf,inf
298,117.735,-inf,inf
299,106.426,-inf,inf
300,37.5817,-inf,inf
301,116.993,-inf,inf
302,102.952,-inf,inf
303,6.36956,-inf,inf
304,16.1306,-inf,inf
305,13.9058,-inf,inf
306,15.1885,-inf,inf
307,59.9674,-inf,inf
308,15.5787,-inf,inf
309,3.62824,-inf,inf
310,93.9734,-inf,inf
311,24.0306,-inf,inf
312,16.7303,-inf,inf
313,39.9923,-inf,inf
314,19.0175,-inf,inf
315,0.0192157,-inf,inf
316,27.8529,-inf,inf
317,70.6309,-inf,inf
318,21.7955,-inf,inf
319,27.2362,-inf,inf
320,18.77,-inf,inf
321,14.9255,-inf,inf
322,14.2357,-inf,inf
323,38.4447,-inf,inf
324,97.5956,-inf,inf
325,78.032,-inf,inf
326,1.05081,-inf,inf
327,101.679,-inf,inf
328,45.0735,-inf,inf
329,80.1053,-inf,inf
330,25.9894,-inf,inf
331,79.4322,-inf,inf
332,75.9276,-inf,inf
333,18.7709,-inf,inf
334,2.80281,-inf,inf
335,19.7527,-inf,inf
336,116.46,-inf,inf
337,19.7069,-inf,inf
338,24.1966,-inf,inf
339,85.1573,-inf,inf
340,30.4858,-inf,inf
341,28.9279,-inf,inf
342,2.6851,-inf,inf
343,14.3175,-inf,inf
344,16.606,-inf,inf
345,2.30563,-inf,inf
346,18.1544,-inf,inf
347,16.1306,-inf,inf
348,106.524,-inf,inf
349,11.1066,-inf,inf
350,43.8503,-inf,inf
351,34.0902,-inf,inf
352,117.302,-inf,inf
353,3.09065,-inf,inf
354,71.4673,-inf,inf
355,30.7668,-inf,inf
356,70.3007,-inf,inf
357,42.387,-inf,inf
358,30.5804,-inf,inf
359,4.29935,-inf,inf
360,60.5743,-inf,inf
361,19.1536,-inf,inf
362,16.9069,-inf,inf
363,117.836,-inf,inf
364,1.57022,-inf,inf
365,102.363,-inf,inf
366,52.1852,-inf,inf
367,24.2955,-inf,inf
368,8.68228,-inf,inf
369,87.747,-inf,inf
370,55.136,-inf,inf
371,118.769,-inf,inf
372,10.0836,-inf,inf
373,40.5733,-inf,inf
374,93.6927,-inf,inf
375,119.502,-inf,inf
376,43.9995,-inf,inf
377,94.0515,-inf,inf
378,36.9033,-inf,inf
379,36.4884,-inf,inf
380,24.8194,-inf,inf
381,53.1836,-inf,inf
382,3.98521,-inf,inf
383,10.1793,-inf,inf
384,44.157,-inf,inf
385,26.8546,-inf,inf
386,95.1223,-inf,inf
387,82.7542,-inf,inf
388,33.1237,-inf,inf
389,28.8072,-inf,inf
390,82.9431,-inf,inf
391,0.310289,-inf,inf
392,10.9994,-inf,inf
393,21.092,-inf,inf
394,58.9455,-inf,inf
395,47.0494,-inf,inf
396,21.4914,-inf,inf
397,96.3353,-inf,inf
398,64.8999,-inf,inf
399,51.8073,-inf,inf
400,52.0917,-inf,inf
401,57.6849,-inf,inf
402,22.8844,-inf,inf
403,10.4796,-inf,inf
404,40.6988,-inf,inf
405,78.8263,-inf,inf
406,1.12631,-inf,inf
407,62.9213,-inf,inf
408,56.1418,-inf,inf
409,91.656,-inf,inf
410,10.0628,-inf,inf
411,66.2269,-inf,inf
412,9.19708,-inf,inf
413,14.1266,-inf,inf
414,60.4423,-inf,inf
415,14.4589,-inf,inf
416,83.8095,-inf,inf
417,53.0524,-inf,inf
418,0.439683,-inf,inf
419,76.9321,-inf,inf
420,38.5367,-inf,inf
421,5.85762,-inf,inf
422,116.986,-inf,inf
423,48.3347,-inf,inf
424,4.93544,-inf,inf
425,35.8367,-inf,inf
426,17.2138,-inf,inf
427,1.36603,-inf,inf
428,48.6025,-inf,inf
429,55.39,-inf,inf
430,94.2253,-inf,inf
431,0.929784,-inf,inf
432,3.12223,-inf,inf
433,0.330826,-inf,inf
434,29.5847,-inf,inf
435,16.7151,-inf,inf
436,55.998,-inf,inf
437,28.7394,-inf,inf
438,118.465,-inf,inf
439,92.8237,-inf,inf
440,63.6279,-inf,inf
441,20.7748,-inf,inf
442,110.718,-inf,inf
443,3.99296,-inf,inf
444,17.7212,-inf,inf
445,2.64258,-inf,inf
446,0.693572,-inf,inf
447,18.1324,-inf,inf
448,0.15586,-inf,inf
449,19.5025,-inf,inf
450,26.2266,-inf,inf
451,8.34119,-inf,inf
452,16.5571,-inf,inf
453,33.5976,-inf,inf
454,34.9257,-inf,inf
455,12.5326,-inf,inf
456,11.8698,-inf,inf
457,50.2993,-inf,inf
458,3.29628,-inf,inf
459,32.9014,-inf,inf
460,117.391,-inf,inf
461,23.4095,-inf,inf
462,78.7082,-inf,inf
463,2.50873,-inf,inf
464,1.13856,-inf,inf
465,49.2327,-inf,inf
466,74.5061,-inf,inf
467,2.10568,-inf,inf
468,81.0223,-inf,inf
469,3.67631,-inf,inf
470,8.20876,-inf,inf
471,4.27215,-inf,inf
472,105.764,-inf,inf
473,63.5764,-inf,inf
474,28.1458,-inf,inf
475,4.40358,-inf,inf
476,69.4139,-inf,inf
477,10.3779,-inf,inf
478,40.8673,-inf,inf
479,42.1391,-inf,inf
480,106.566,-inf,inf
481,76.7324,-inf,inf
482,118.43,-inf,inf
483,87.6791,-inf,inf
484,53.6166,-inf,inf
485,74.6611,-inf,inf
486,23.6153,-inf,inf
487,83.6104,-inf,inf
488,94.1608,-inf,inf
489,63.2773,-inf,inf
490,3.72551,-inf,inf
491,81.1819,-inf,inf
492,58.9548,-inf,inf
493,25.8622,-inf,inf
494,9.25328,-inf,inf
495,49.068,-inf,inf
496,20.2788,-inf,inf
497,61.7257,-inf,inf
498,0.621421,-inf,inf
499,75.1811,-inf,inf
